Home,Win,Minutes,FieldGoals,FieldGoalsAttempts,FieldGoals%,3P,3PA,3P%,FreeThrows,FreeThrowAttempts,FreeThrows%,ORebounds,DRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points,GameScore
0,1,26.20,6,11,.545,0,3,.000,2,2,1.000,1,5,6,6,1,2,1,3,14,15.3
0,0,26.28,10,12,.833,0,0,,7,7,1.000,7,4,11,4,1,1,1,1,27,31.8
1,1,19.23,5,6,.833,1,1,1.000,2,3,.667,0,4,4,5,0,0,1,5,13,12.1
1,1,20.13,5,8,.625,0,0,,0,0,,2,7,9,5,0,0,1,5,10,10.4
1,1,38.02,13,17,.765,1,1,1.000,0,0,,3,14,17,9,1,0,3,1,27,30.5
0,0,20.43,4,7,.571,0,2,.000,1,2,.500,2,4,6,1,0,0,2,3,9,5.4
1,0,19.07,3,4,.750,1,1,1.000,1,2,.500,1,6,7,6,0,3,5,6,8,7.4
0,1,32.25,11,16,.688,2,3,.667,0,1,.000,2,8,10,4,3,0,2,4,24,22.8
1,1,34.26,6,12,.500,0,2,.000,4,5,.800,2,6,8,11,0,1,2,3,16,18.0
1,0,22.16,9,13,.692,0,0,,7,9,.778,2,5,7,4,0,0,2,5,25,20.4
0,0,24.48,8,17,.471,1,2,.500,4,4,1.000,8,5,13,5,1,0,2,2,21,21.1
1,0,28.23,7,11,.636,1,2,.500,3,3,1.000,1,5,6,5,1,1,1,3,18,18.3
1,0,27.20,8,10,.800,0,0,,3,4,.750,5,6,11,5,1,0,3,2,19,20.8
1,1,30.12,7,11,.636,2,3,.667,6,6,1.000,3,7,10,8,1,1,3,1,22,25.2
1,1,35.51,13,19,.684,1,2,.500,3,5,.600,3,8,11,5,3,1,2,2,30,30.0
0,1,33.43,12,22,.545,1,5,.200,4,6,.667,7,8,15,1,0,3,2,3,29,24.5
0,0,37.35,14,22,.636,2,4,.500,5,5,1.000,4,8,12,4,0,2,3,2,35,30.8
1,1,21.19,8,11,.727,2,3,.667,1,1,1.000,3,7,10,3,0,0,3,3,19,16.6
0,0,27.11,8,15,.533,0,3,.000,2,2,1.000,5,4,9,4,2,2,4,5,18,15.6
1,1,35.12,9,15,.600,0,4,.000,5,5,1.000,0,11,11,6,2,3,4,3,23,22.5
1,1,35.46,12,21,.571,0,2,.000,5,6,.833,8,6,14,8,1,2,3,2,29,30.3
1,1,32.19,8,15,.533,2,4,.500,2,2,1.000,6,6,12,11,1,0,2,0,20,25.4
0,0,15.24,5,9,.556,1,2,.500,0,0,,1,0,1,2,0,0,5,3,11,2.6
1,1,24.24,5,9,.556,0,1,.000,3,3,1.000,1,3,4,9,1,0,2,5,13,13.6
0,0,34.16,8,17,.471,2,3,.667,0,0,,9,6,15,3,0,0,0,4,18,17.9
0,1,36.41,17,23,.739,2,3,.667,4,5,.800,4,5,9,5,2,0,2,2,40,37.3
0,0,37.39,9,18,.500,1,2,.500,8,10,.800,6,7,13,4,0,2,5,2,27,21.9
1,1,36.00,7,13,.538,0,0,,3,4,.750,6,15,21,12,2,0,6,3,17,22.2
1,0,33.57,6,19,.316,2,5,.400,1,2,.500,4,10,14,4,1,3,2,5,15,11.4
0,0,25.33,2,7,.286,0,2,.000,0,0,,2,9,11,2,0,0,1,3,4,3.2
